name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,Star Type Complex,Star Type Simple
Kepler-51 d,2557,14.885,Neptune-like,2014,7.6,5972200000000000000000000,0.865,11.209,0.509,0.35646817,0.01,Transit,F5 V,F
Kepler-521 b,2710,12.94,Neptune-like,2016,10.2,5972200000000000000000000,0.284,11.209,0.1699,0.06078029,0,Transit,K7 V,K
Kepler-522 b,2085,12.22,Gas Giant,2016,38.2,5972200000000000000000000,0.616,11.209,0.2551,0.10568104,0,Transit,K2 V,K
Kepler-527 b,2447,13.471,Neptune-like,2016,8.45,5972200000000000000000000,0.253,11.209,0.1179,0.036413416,0,Transit,M0,M
Kepler-529 d,2606,13.779,Neptune-like,2021,8.22,5972200000000000000000000,0.249,11.209,0.2134,0.09828885,0,Transit,M0,M
Kepler-530 b,1493,13.502,Neptune-like,2016,9.32,5972200000000000000000000,0.269,11.209,0.2212,0.10759754,0,Transit,F6,F
Kepler-531 b,825,13.566,Neptune-like,2016,8.15,5972200000000000000000000,0.248,11.209,0.1694,0.081861734,0,Transit,F6,F
Kepler-532 b,1020,13.74,Neptune-like,2016,7.13,5972200000000000000000000,0.229,11.209,0.1012,0.035318274,0,Transit,F6,F
Kepler-533 b,988,14.128,Neptune-like,2016,11.4,5972200000000000000000000,0.302,11.209,0.165,0.078028746,0,Transit,F6,F
Kepler-534 b,1861,13.387,Neptune-like,2016,5.65,5972200000000000000000000,0.2,11.209,0.1272,0.043805614,0,Transit,F6,F
Kepler-535 b,2236,13.209,Neptune-like,2016,6.17,5972200000000000000000000,0.211,11.209,0.0594,0.013415469,0,Transit,K7V,K
Kepler-536 b,1508,14.032,Neptune-like,2016,9.8,5972200000000000000000000,0.277,11.209,0.0276,0.004928131,0,Transit,M0.5 Ve,M
Kepler-541 b,3460,13.383,Neptune-like,2016,11.2,5972200000000000000000000,0.3,11.209,0.0641,0.013963039,0,Transit,K5 V,K
Kepler-543 b,724,13.598,Neptune-like,2016,6.8,5972200000000000000000000,0.223,11.209,0.098,0.038056124,0,Transit,K5 V,K
Kepler-545 b,2668,14.205,Neptune-like,2016,7.7,5972200000000000000000000,0.24,11.209,0.1087,0.03613963,0,Transit,K5 V,K
Kepler-546 b,3326,14.325,Gas Giant,2016,39.1,5972200000000000000000000,0.624,11.209,0.0502,0.011225188,0,Transit,M0,M
Kepler-547 b,1236,14.48,Neptune-like,2016,15.1,5972200000000000000000000,0.357,11.209,0.058,0.016427105,0,Transit,K1 III,K
Kepler-549 b,2072,14.805,Neptune-like,2016,11,5972200000000000000000000,0.229,11.209,0.2283,0.117453806,0,Transit,K4 V,K
Kepler-549 c,2072,14.805,Neptune-like,2016,8.91,5972200000000000000000000,0.261,11.209,0.4453,0.32032853,0,Transit,K4 V,K
Kepler-550 b,1735,14.626,Neptune-like,2016,17.9,5972200000000000000000000,0.394,11.209,0.0747,0.023545519,0,Transit,K4 V,K
Kepler-551 b,1015,15.278,Neptune-like,2016,7.9,5972200000000000000000000,0.244,11.209,0.0893,0.03394935,0,Transit,K6 V,K
Kepler-552 b,2752,14.476,Neptune-like,2016,14.8,5972200000000000000000000,0.352,11.209,0.0612,0.01451061,0,Transit,G8,G
Kepler-553 b,2376,15.034,Neptune-like,2016,19.4,5972200000000000000000000,0.413,11.209,0.0484,0.010951404,0,Transit,K4 V,K
Kepler-554 b,2252,14.49,Neptune-like,2016,17,5972200000000000000000000,0.383,11.209,0.0293,0.005201916,0,Transit,K0,K
Kepler-555 b,3174,14.448,Neptune-like,2016,8.4,5972200000000000000000000,0.252,11.209,0.1201,0.044353183,0,Transit,K0,K
Kepler-556 b,2201,14.316,Neptune-like,2016,5.65,5972200000000000000000000,0.2,11.209,0.0973,0.032032855,0,Transit,A2 V,A
Kepler-557 b,6841,14.723,Neptune-like,2016,7.61,5972200000000000000000000,0.238,11.209,0.0469,0.010130048,0,Transit,K0 III,K
Kepler-558 b,2159,14.899,Neptune-like,2016,6.21,5972200000000000000000000,0.211,11.209,0.1759,0.07939767,0,Transit,G1 V,G
Kepler-559 b,2534,14.863,Neptune-like,2016,12.7,5972200000000000000000000,0.322,11.209,0.1277,0.048186176,0,Transit,K1 III,K
Kepler-561 b,2027,14.427,Gas Giant,2016,38.7,5972200000000000000000000,0.621,11.209,0.2918,0.15989049,0,Transit,K0 III,K
Kepler-561 c,2027,14.427,Neptune-like,2016,7.65,5972200000000000000000000,0.239,11.209,0.0593,0.014784395,0,Transit,K0 III,K
Kepler-562 b,3238,14.908,Neptune-like,2016,23.7,5972200000000000000000000,0.465,11.209,0.1333,0.049281314,0,Transit,K7 V,K
Kepler-563 b,1844,14.901,Neptune-like,2016,9.75,5972200000000000000000000,0.276,11.209,0.1418,0.06078029,0,Transit,M1,M
Kepler-564 b,2815,14.883,Neptune-like,2016,19.4,5972200000000000000000000,0.413,11.209,0.0484,0.010403832,0,Transit,K1 III,K
Kepler-565 b,3396,15.231,Neptune-like,2016,12.9,5972200000000000000000000,0.325,11.209,0.0501,0.011498973,0,Transit,A2 V,A
Kepler-567 b,1823,14.827,Neptune-like,2016,5.69,5972200000000000000000000,0.201,11.209,0.1229,0.04517454,0,Transit,K0 III,K
Kepler-568 b,426,15.216,Neptune-like,2016,5.73,5972200000000000000000000,0.202,11.209,0.0794,0.030116359,0,Transit,B9 V,B
Kepler-569 b,2082,14.244,Neptune-like,2016,10.1,5972200000000000000000000,0.282,11.209,0.1981,0.0936345,0,Transit,B9 V,B
Kepler-56 b,2978,12.598,Neptune-like,2012,22.1,5972200000000000000000000,0.581,11.209,0.1028,0.028747434,0.04,Transit,M3 V,M
Kepler-570 b,1853,14.451,Neptune-like,2016,6.57,5972200000000000000000000,0.219,11.209,0.0497,0.011772759,0,Transit,M,M
Kepler-571 b,2361,14.951,Neptune-like,2016,7.46,5972200000000000000000000,0.236,11.209,0.0546,0.013141684,0,Transit,K2 III/ IV,K
Kepler-572 b,1646,14.679,Neptune-like,2016,7.18,5972200000000000000000000,0.23,11.209,0.1192,0.047091037,0,Transit,K5 V,K
