name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,Star Type Complex,Star Type Simple
61 Virginis c,28,4.6955,Neptune-like,2009,18.2,5972200000000000000000000,0.398,11.209,0.2175,0.10403833,0.14,Radial Velocity,G8 III,G
61 Virginis d,28,4.6955,Neptune-like,2009,22.9,5972200000000000000000000,0.456,11.209,0.476,0.33675563,0.35,Radial Velocity,K4 III,K
AU Microscopii b,32,8.81,Neptune-like,2020,20.12,5972200000000000000000000,0.363,11.209,0.0645,0.023271732,0.19,Transit,K0 III,K
AU Microscopii c,32,8.81,Neptune-like,2021,9.6,5972200000000000000000000,0.289,11.209,0.1101,0.051745377,0.04,Transit,K0 V,K
BD-06 1339 b,66,9.7,Neptune-like,2013,8.5,5972200000000000000000000,0.254,11.209,0.0428,0.010677618,0,Radial Velocity,G3 V,G
BD-08 2823 b,135,9.86,Neptune-like,2009,12.7132,5972200000000000000000000,0.322,11.209,0.06,0.015331964,0.15,Radial Velocity,K3 III,K
BD-11 4672 c,89,10.03,Neptune-like,2020,15.37,5972200000000000000000000,0.36,11.209,0.3,0.20314851,0.4,Radial Velocity,G6 III,G
BD+20 594 b,585,10.849,Neptune-like,2016,22.2481,5972200000000000000000000,0.23,11.209,0.241,0.11416838,0,Transit,K7 V,K
CoRoT-22 b,2046,13.82,Neptune-like,2014,12.2,5972200000000000000000000,0.435,11.209,0.092,0.026830938,0.08,Transit,G3 IV,G
CoRoT-24 b,1930,15.383,Neptune-like,2014,5.7,5972200000000000000000000,0.33,11.209,0.056,0.013963039,0,Transit,K0 IV,K
CoRoT-24 c,1930,15.383,Neptune-like,2014,28,5972200000000000000000000,0.44,11.209,0.098,0.03230664,0,Transit,K0 IV,K
CoRoT-7 c,522,11.728,Neptune-like,2009,8.4,5972200000000000000000000,0.253,11.209,0.046,0.010130048,0,Radial Velocity,M V,M
DMPP-1 b,204,7.98,Neptune-like,2019,24.27,5972200000000000000000000,0.472,11.209,0.1462,0.050924025,0.083,Radial Velocity,M3.5 V,M
DMPP-1 c,204,7.98,Neptune-like,2019,9.6,5972200000000000000000000,0.273,11.209,0.0733,0.018069815,0.057,Radial Velocity,M6,M
EPIC 211945201 b,593,10.154,Neptune-like,2018,27,5972200000000000000000000,0.514,11.209,0.1493,0.05338809,0,Transit,M8,M
EPIC 212737443 b,1097,14.81,Neptune-like,2019,7.2,5972200000000000000000000,0.231,11.209,0.098,0.037234772,0.2,Transit,K1 III,K
EPIC 212737443 c,1097,14.81,Neptune-like,2019,7.7,5972200000000000000000000,0.24,11.209,0.28,0.17960301,0.2,Transit,K1.5 III,K
EPIC 249893012 c,1048,11.429,Neptune-like,2020,14.67,5972200000000000000000000,0.327,11.209,0.13,0.042710472,0.07,Transit,G0 V,G
EPIC 249893012 d,1048,11.429,Neptune-like,2020,10.18,5972200000000000000000000,0.352,11.209,0.22,0.097741276,0.15,Transit,G1 V,G
GJ 1151 c,26,13.76,Neptune-like,2023,10.62,5972200000000000000000000,0.29,11.209,0.5714,1.0669404,0,Radial Velocity,G0V,G
GJ 1214 b,48,15.1,Neptune-like,2009,8.17,5972200000000000000000000,0.245,11.209,0.0149,0.004380561,0.063,Transit,F0 IV,F
GJ 1265 b,33,14.01,Neptune-like,2018,7.4,5972200000000000000000000,0.234,11.209,0.026,0.010130048,0.04,Radial Velocity,G5V,G
GJ 143 b,53,8.08,Neptune-like,2019,22.7,5972200000000000000000000,0.233,11.209,0.1915,0.09746748,0.19,Transit,K0 IV-V,K
GJ 15 A c,12,8.09,Neptune-like,2018,36,5972200000000000000000000,0.595,11.209,5.4,20.8,0.27,Radial Velocity,G8V,G
GJ 160.2 b,84,9.7,Neptune-like,2014,10.2,5972200000000000000000000,0.283,11.209,0.053,0.014236824,0.06,Radial Velocity,G8 V,G
GJ 163 b,49,11.79,Neptune-like,2013,10.6,5972200000000000000000000,0.29,11.209,0.0607,0.023545519,0.07,Radial Velocity,G8 V,G
GJ 163 c,49,11.79,Neptune-like,2013,6.8,5972200000000000000000000,0.223,11.209,0.1254,0.07008898,0.1,Radial Velocity,G8V,G
GJ 163 d,49,11.79,Neptune-like,2013,29.4,5972200000000000000000000,0.528,11.209,1.0304,1.7,0.37,Radial Velocity,K0 IV,K
GJ 180 b,39,10.914,Neptune-like,2014,6.49,5972200000000000000000000,0.217,11.209,0.092,0.04681725,0.07,Radial Velocity,G5 V,G
GJ 180 c,39,10.914,Neptune-like,2014,6.4,5972200000000000000000000,0.215,11.209,0.129,0.06652977,0.09,Radial Velocity,G5 V,G
GJ 180 d,39,10.914,Neptune-like,2020,7.56,5972200000000000000000000,0.237,11.209,0.309,0.29103354,0.14,Radial Velocity,G5 V,G
GJ 2056 b,93,10.37,Neptune-like,2020,16.2,5972200000000000000000000,0.372,11.209,0.283,0.19164956,0.72,Radial Velocity,K1 III,K
GJ 229 A c,19,8.15,Neptune-like,2020,8.57613,5972200000000000000000000,0.256,11.209,0.384214,0.33374402,0.37,Radial Velocity,K1III(+M),K
GJ 229 b,19,8.15,Neptune-like,2014,14.85045,5972200000000000000000000,0.353,11.209,1.086215,1.6,0.4,Radial Velocity,G5V,G
GJ 27.1 b,77,11.45,Neptune-like,2014,13,5972200000000000000000000,0.327,11.209,0.101,0.04325804,0.08,Radial Velocity,G3 III,G
GJ 3082 b,54,11.041,Neptune-like,2020,8.2,5972200000000000000000000,0.249,11.209,0.079,0.032580424,0.22,Radial Velocity,K0,K
GJ 3138 d,93,10.8275,Neptune-like,2017,10.5,5972200000000000000000000,0.288,11.209,0.698,0.7058179,0.32,Radial Velocity,G5 III,G
GJ 3222 b,59,6.9,Neptune-like,2022,11.73969,5972200000000000000000000,0.308,11.209,0.091179,0.029295003,0.93,Radial Velocity,K0 III,K
GJ 3293 c,66,11.945,Neptune-like,2015,21.09,5972200000000000000000000,0.434,11.209,0.36175,0.33566052,0.11,Radial Velocity,K2 V,K
GJ 3293 d,66,11.945,Neptune-like,2017,7.6,5972200000000000000000000,0.238,11.209,0.19394,0.13169062,0.12,Radial Velocity,F8 V,F
GJ 3341 b,77,12.062,Neptune-like,2015,6.6,5972200000000000000000000,0.219,11.209,0.089,0.03887748,0.31,Radial Velocity,M1,M
GJ 338 B b,21,7.7,Neptune-like,2020,10.6,5972200000000000000000000,0.29,11.209,0.142,0.06680356,0.11,Radial Velocity,M1,M
GJ 3473 c,89,13.74,Neptune-like,2020,7.41,5972200000000000000000000,0.235,11.209,0.0876,0.042436685,0,Radial Velocity,K2 V,K
GJ 357 d,31,10.91,Neptune-like,2019,6.1,5972200000000000000000000,0.209,11.209,0.204,0.15249829,0,Radial Velocity,G5,G
GJ 3634 b,66,11.938,Neptune-like,2010,8.4,5972200000000000000000000,0.253,11.209,0.0287,0.007118412,0.08,Radial Velocity,K0,K
GJ 3779 b,45,13.04,Neptune-like,2018,8,5972200000000000000000000,0.245,11.209,0.026,0.008213553,0.07,Radial Velocity,K2 II,K
GJ 3929 c,52,12.675,Neptune-like,2022,5.71,5972200000000000000000000,0.201,11.209,0.081,0.04106776,0,Radial Velocity,K2 II,K
GJ 3942 b,55,10.166,Neptune-like,2017,7.14,5972200000000000000000000,0.229,11.209,0.0608,0.01889117,0.12,Radial Velocity,K5 III,K
GJ 3998 c,59,10.844,Neptune-like,2016,6.26,5972200000000000000000000,0.212,11.209,0.089,0.037508555,0.05,Radial Velocity,G,G
GJ 414 A b,39,8.31,Neptune-like,2021,7.6,5972200000000000000000000,0.235,11.209,0.2324,0.13908282,0.45,Radial Velocity,K1,K
GJ 422 b,41,11.66,Neptune-like,2014,11.07,5972200000000000000000000,0.297,11.209,0.111,0.0550308,0.11,Radial Velocity,K0 III,K
GJ 4276 b,70,12.903,Neptune-like,2019,16.57,5972200000000000000000000,0.377,11.209,0.082,0.0366872,0.37,Radial Velocity,K3 III,K
GJ 433 b,30,9.81,Neptune-like,2011,6.043,5972200000000000000000000,0.208,11.209,0.062,0.020260096,0.04,Radial Velocity,K0,K
GJ 433 c,30,9.81,Neptune-like,2014,32.422,5972200000000000000000000,0.56,11.209,4.819,14,0.12,Radial Velocity,K3,K
GJ 436 b,32,10.67,Neptune-like,2004,22.1,5972200000000000000000000,0.372,11.209,0.0291,0.007118412,0.14,Radial Velocity,K0,K
GJ 480 b,46,11.49,Neptune-like,2020,13.2,5972200000000000000000000,0.33,11.209,0.068,0.026283368,0.1,Radial Velocity,K0,K
GJ 581 b,21,10.57,Neptune-like,2005,15.8,5972200000000000000000000,0.366,11.209,0.04061,0.014784395,0,Radial Velocity,G0,G
GJ 674 b,15,9.38,Neptune-like,2007,11.09,5972200000000000000000000,0.297,11.209,0.039,0.012867898,0.2,Radial Velocity,K7/M0 V,K
GJ 676 A e,52,9.58,Neptune-like,2012,6.69167,5972200000000000000000000,0.221,11.209,0.180707,0.0971937,0.15,Radial Velocity,K7/M0 V,K
GJ 682 c,16,10.94,Neptune-like,2014,8.7,5972200000000000000000000,0.258,11.209,0.176,0.15687884,0.1,Radial Velocity,K3 V,K
GJ 685 b,47,9.98,Neptune-like,2019,9,5972200000000000000000000,0.263,11.209,0.1344,0.066255994,0,Radial Velocity,K3 V,K
GJ 687 b,15,9.15,Neptune-like,2014,17.2,5972200000000000000000000,0.385,11.209,0.163,0.104312114,0.17,Radial Velocity,K0 V,K
GJ 687 c,15,9.15,Neptune-like,2020,16,5972200000000000000000000,0.369,11.209,1.165,2,0.4,Radial Velocity,K7 V,K
GJ 720 A b,51,9.84,Neptune-like,2021,13.64,5972200000000000000000000,0.336,11.209,0.119,0.05338809,0.12,Radial Velocity,K7V,K
GJ 876 d,15,10.16,Neptune-like,2005,6.83,5972200000000000000000000,0.224,11.209,0.020807,0.005201916,0.21,Radial Velocity,G5 IV/V,G
GJ 876 e,15,10.16,Neptune-like,2010,14.6,5972200000000000000000000,0.35,11.209,0.3343,0.34031487,0.06,Radial Velocity,K5 V,K
GJ 887 c,11,7.56,Neptune-like,2020,7.6,5972200000000000000000000,0.238,11.209,0.12,0.059685145,0,Radial Velocity,K7 V,K
GJ 9689 b,100,11.297,Neptune-like,2020,9.65,5972200000000000000000000,0.274,11.209,0.1139,0.050102666,0.29,Radial Velocity,K7 V,K
GJ 96 b,39,9.4,Neptune-like,2018,19.66,5972200000000000000000000,0.417,11.209,0.291,0.20232718,0.44,Radial Velocity,M5.0 V,M
Gl 49 b,32,9.56,Neptune-like,2019,5.63,5972200000000000000000000,0.2,11.209,0.0905,0.038056124,0.36,Radial Velocity,M9-L1,M
Gl 686 b,27,9.62,Neptune-like,2018,6.624,5972200000000000000000000,0.22,11.209,0.091,0.042436685,0.05,Radial Velocity,M3.5,M
HAT-P-11 b,123,9.46,Neptune-like,2008,26.69772,5972200000000000000000000,0.389,11.209,0.05254,0.013415469,0.22,Transit,K7,K
HAT-P-26 b,463,11.757,Neptune-like,2010,22.2481,5972200000000000000000000,0.63,11.209,0.0479,0.011498973,0.12,Transit,M3 V,M
HATS-37 A b,691,12.341,Neptune-like,2020,31.46517,5972200000000000000000000,0.606,11.209,0.04913,0.011772759,0,Transit,K5e,K
HATS-38 b,1121,11.967,Neptune-like,2020,23.51942,5972200000000000000000000,0.614,11.209,0.05036,0.012046544,0,Transit,G0 V,G
HATS-72 b,416,12.324,Gas Giant,2020,39.85588,5972200000000000000000000,0.722,11.209,0.066517,0.019986311,0.013,Transit,K1 V,K
HATS-7 b,785,13.347,Gas Giant,2015,38.1396,5972200000000000000000000,0.563,11.209,0.04012,0.008761123,0.17,Transit,F6 V,F
HD 10180 d,127,7.33,Neptune-like,2010,11.75,5972200000000000000000000,0.308,11.209,0.12859,0.044900753,0.13,Radial Velocity,G0 V,G
HD 10180 e,127,7.33,Neptune-like,2010,25.1,5972200000000000000000000,0.481,11.209,0.2699,0.13607119,0.05,Radial Velocity,F9 V,F
HD 10180 f,127,7.33,Neptune-like,2010,23.9,5972200000000000000000000,0.468,11.209,0.4929,0.33593428,0.12,Radial Velocity,G5 V,G
HD 10180 g,127,7.33,Neptune-like,2010,21.4,5972200000000000000000000,0.438,11.209,1.427,1.7,0.26,Radial Velocity,G2 V,G
HD 102365 b,30,4.89,Neptune-like,2010,16,5972200000000000000000000,0.369,11.209,0.46,0.33429158,0.34,Radial Velocity,G9 V,G
HD 103197 b,186,9.4,Neptune-like,2009,28.6047,5972200000000000000000000,0.52,11.209,0.25,0.13086927,0,Radial Velocity,F9 V,F
HD 105618 b,229,8.63,Neptune-like,2022,25.14472,5972200000000000000000000,0.482,11.209,0.09124,0.027378507,0.45,Radial Velocity,G2 V,G
HD 106315 b,357,8.951,Super Earth,2017,12.6,5972200000000000000000000,0.218,11.209,0.0907,0.026283368,0.09,Transit,G2 V,G
HD 106315 c,357,8.951,Neptune-like,2017,15.2,5972200000000000000000000,0.388,11.209,0.1536,0.057768654,0.22,Transit,F8 IV,F
HD 107148 c,161,8.01,Neptune-like,2021,19.89606,5972200000000000000000000,0.42,11.209,0.1407,0.050102666,0.34,Radial Velocity,G3 V,G
HD 108236 d,211,9.25,Neptune-like,2020,6.98,5972200000000000000000000,0.227,11.209,0.1074,0.03887748,0.06,Transit,G0 V,G
HD 108236 e,211,9.25,Neptune-like,2020,9.71,5972200000000000000000000,0.275,11.209,0.1367,0.053661875,0.06,Transit,K1 V,K
HD 109271 b,182,8.04,Neptune-like,2013,17.162,5972200000000000000000000,0.385,11.209,0.079,0.02162902,0.25,Radial Velocity,K1 V,K
HD 109271 c,182,8.04,Neptune-like,2013,24.154,5972200000000000000000000,0.47,11.209,0.196,0.08459959,0.15,Radial Velocity,F9,F
HD 110082 b,343,9.23,Neptune-like,2021,10.3,5972200000000000000000000,0.285,11.209,0.113,0.027926078,0.2,Transit,G8/9 IV,G
HD 110113 c,347,10.09,Neptune-like,2021,10.5,5972200000000000000000000,0.288,11.209,0.068,0.0183436,0.05,Radial Velocity,K0 V,K
HD 115404 A b,36,6.50066,Neptune-like,2022,30.03873,5972200000000000000000000,0.535,11.209,0.088127,0.028747434,0.23,Radial Velocity,F3 V,F
HD 11964 c,109,6.41525,Neptune-like,2008,25,5972200000000000000000000,0.48,11.209,0.229,0.10376455,0.3,Radial Velocity,G3 V,G
HD 12235 b,104,5.88051,Neptune-like,2022,10.33369,5972200000000000000000000,0.285,11.209,0.053918,0.012046544,0.38,Radial Velocity,G2 IV,G
HD 125595 b,92,9.03,Neptune-like,2009,6.3566,5972200000000000000000000,0.214,11.209,0.08,0.026557151,0,Radial Velocity,F6 V,F
HD 125612 c,188,8.31,Neptune-like,2009,15.17685,5972200000000000000000000,0.358,11.209,0.051386,0.011498973,0.15,Radial Velocity,F3 V,F
HD 134060 b,78,6.29,Neptune-like,2019,10.1,5972200000000000000000000,0.282,11.209,0.0444,0.009034907,0.45,Radial Velocity,F9 V,F
HD 134060 c,78,6.29,Neptune-like,2019,29.29,5972200000000000000000000,0.527,11.209,2.3928,3.5,0.11,Radial Velocity,F9 V,F
HD 136352 c,48,5.65,Neptune-like,2019,11.24,5972200000000000000000000,0.26,11.209,0.1721,0.07556468,0,Radial Velocity,G9 V,G
HD 136352 d,48,5.65,Neptune-like,2019,8.82,5972200000000000000000000,0.229,11.209,0.425,0.2934976,0,Radial Velocity,G9 V,G
HD 13808 b,92,8.36,Neptune-like,2021,11.2,5972200000000000000000000,0.299,11.209,0.10519,0.03887748,0.07,Radial Velocity,G9 V,G
HD 13808 c,92,8.36,Neptune-like,2021,9.96,5972200000000000000000000,0.279,11.209,0.2554,0.14729637,0.16,Radial Velocity,K1 V,K
HD 140901 b,50,6.01,Neptune-like,2022,14.64775,5972200000000000000000000,0.35,11.209,0.084501,0.024640657,0.47,Radial Velocity,G3 V,G
HD 141004 b,39,4.4154,Neptune-like,2021,13.63484,5972200000000000000000000,0.336,11.209,0.1238,0.042436685,0.16,Radial Velocity,G0 VI,G
HD 1461 b,77,6.47933,Neptune-like,2010,6.44,5972200000000000000000000,0.216,11.209,0.0634,0.015879534,0.172,Radial Velocity,L1.5,L
HD 147379 b,35,8.61,Neptune-like,2017,28.55,5972200000000000000000000,0.519,11.209,0.323,0.23764546,0.07,Radial Velocity,M0.5,M
HD 151450 b,142,7.43,Neptune-like,2022,37.24604,5972200000000000000000000,0.607,11.209,0.159926,0.05995893,0.5,Radial Velocity,F8 V,F
HD 152843 b,352,8.855,Neptune-like,2021,11.56,5972200000000000000000000,0.304,11.209,0.1053,0.03175907,0.14,Transit,F8 V,F
HD 15337 c,146,9.1,Super Earth,2019,8.11,5972200000000000000000000,0.213,11.209,0.1268,0.047091037,0.05,Transit,F8 V,F
HD 153557 b,59,7.83,Neptune-like,2022,20.05856,5972200000000000000000000,0.422,11.209,0.068049,0.019986311,0.07,Radial Velocity,F5 V,F
HD 153557 c,59,7.83,Neptune-like,2022,17.30766,5972200000000000000000000,0.387,11.209,0.111312,0.041889116,0.51,Radial Velocity,K0 V,K
HD 155918 b,90,7,Neptune-like,2022,7.50192,5972200000000000000000000,0.236,11.209,0.030046,0.005201916,-0.08,Radial Velocity,G6 V,G
HD 164595 b,92,7.08597,Neptune-like,2015,16.14,5972200000000000000000000,0.371,11.209,0.23,0.10951403,0.09,Radial Velocity,K3 V,K
HD 189567 b,58,6.074,Neptune-like,2021,8.5,5972200000000000000000000,0.254,11.209,0.111,0.039151266,0.189,Radial Velocity,M0,M
HD 189567 c,58,6.074,Neptune-like,2021,7,5972200000000000000000000,0.227,11.209,0.197,0.092265576,0.16,Radial Velocity,G0,G
HD 20003 b,136,8.39,Neptune-like,2019,11.66,5972200000000000000000000,0.306,11.209,0.0974,0.03230664,0.36,Radial Velocity,K3,K
HD 20003 c,136,8.39,Neptune-like,2019,14.44,5972200000000000000000000,0.347,11.209,0.1964,0.09281315,0.1,Radial Velocity,K3,K
HD 20781 d,117,8.48,Neptune-like,2019,10.61,5972200000000000000000000,0.29,11.209,0.1647,0.079945244,0.11,Radial Velocity,G5 V,G
HD 20781 e,117,8.48,Neptune-like,2019,14.03,5972200000000000000000000,0.342,11.209,0.3374,0.23408625,0.06,Radial Velocity,G5 V,G
HD 213519 b,134,7.68,Neptune-like,2022,9.51349,5972200000000000000000000,0.272,11.209,0.099068,0.030390145,0.41,Radial Velocity,F5 V,F
HD 215497 b,132,8.96,Neptune-like,2009,6.3566,5972200000000000000000000,0.214,11.209,0.05,0.010677618,0.16,Radial Velocity,G8 IV/V,G
HD 216520 b,64,7.53,Neptune-like,2020,10.26,5972200000000000000000000,0.284,11.209,0.198,0.0971937,0.09,Radial Velocity,G8 IV/V,G
HD 216520 c,64,7.53,Neptune-like,2020,9.44,5972200000000000000000000,0.271,11.209,0.528,0.42272416,0.12,Radial Velocity,G8 IV/V,G
HD 21693 b,108,7.95,Neptune-like,2019,8.23,5972200000000000000000000,0.25,11.209,0.1455,0.062149215,0.12,Radial Velocity,M7.25,M
HD 21693 c,108,7.95,Neptune-like,2019,17.37,5972200000000000000000000,0.387,11.209,0.2586,0.14702259,0.07,Radial Velocity,M4.0 V,M
HD 217786 c,181,7.78,Neptune-like,2022,7.35886,5972200000000000000000000,0.234,11.209,0.037863,0.006844627,-0.52,Radial Velocity,M4.0 V,M
HD 219134 g,21,5.56911,Neptune-like,2015,10.80622,5972200000000000000000000,0.293,11.209,0.3753,0.25790554,0,Radial Velocity,M2.5 V,M
HD 219666 b,307,9.809,Neptune-like,2018,16.6,5972200000000000000000000,0.42,11.209,0.06356,0.016427105,0,Transit,M5.5 V,M
HD 219828 b,238,8.04,Neptune-like,2007,18.94937,5972200000000000000000000,0.408,11.209,0.048559,0.010403832,0.09,Radial Velocity,M5.5 V,M
HD 238090 b,50,9.71,Neptune-like,2020,6.89,5972200000000000000000000,0.225,11.209,0.0932,0.037508555,0.3,Radial Velocity,M5.5 V,M
HD 24085 b,179,7.57,Neptune-like,2019,11.8,5972200000000000000000000,0.309,11.209,0.034,0.005475702,0.22,Radial Velocity,M5.5 V,M
HD 25912 b,160,8.2,Neptune-like,2022,38.02619,5972200000000000000000000,0.615,11.209,0.241872,0.11444216,0.05,Radial Velocity,M5.5 V,M
HD 28109 c,455,9.42,Neptune-like,2022,7.943,5972200000000000000000000,0.377,11.209,0.308,0.15331964,0.1203,Transit,M4.5 V,M
HD 28109 d,455,9.42,Neptune-like,2022,5.681,5972200000000000000000000,0.29,11.209,0.411,0.23080082,0.0864,Transit,M5,M
HD 285968 b,31,9.95,Neptune-like,2008,8.4,5972200000000000000000000,0.253,11.209,0.066,0.024093088,0,Radial Velocity,M5,M
HD 31527 b,125,7.49,Neptune-like,2019,10.47,5972200000000000000000000,0.288,11.209,0.1254,0.045448326,0.1,Radial Velocity,M 4.5V,M
HD 31527 c,125,7.49,Neptune-like,2019,14.16,5972200000000000000000000,0.343,11.209,0.2663,0.14017797,0.04,Radial Velocity,M4 V,M
HD 31527 d,125,7.49,Neptune-like,2019,11.82,5972200000000000000000000,0.309,11.209,0.8098,0.7438741,0.24,Radial Velocity,M3,M
HD 3167 c,154,8.97,Neptune-like,2016,10.67,5972200000000000000000000,0.261,11.209,0.1783,0.08158795,0.15,Transit,M4.5 V,M
HD 3167 e,154,8.97,Neptune-like,2022,9.74,5972200000000000000000000,0.276,11.209,0.4048,0.27953455,0.6,Radial Velocity,K4.5,K
HD 34445 d,150,7.31,Neptune-like,2017,30.7,5972200000000000000000000,0.542,11.209,0.4817,0.32279262,0.03,Radial Velocity,M1,M
HD 34445 e,150,7.31,Neptune-like,2017,16.8,5972200000000000000000000,0.38,11.209,0.2687,0.13470227,0.09,Radial Velocity,M1,M
HD 34445 f,150,7.31,Neptune-like,2017,37.9,5972200000000000000000000,0.613,11.209,1.543,1.9,0.03,Radial Velocity,M0 V,M
HD 39194 c,86,8.09,Neptune-like,2021,6.3,5972200000000000000000000,0.213,11.209,0.103,0.03832991,0.154,Radial Velocity,M,M
HD 39855 b,76,7.51,Neptune-like,2019,8.5,5972200000000000000000000,0.254,11.209,0.041,0.008761123,0.14,Radial Velocity,M,M
HD 40307 c,42,7.17,Neptune-like,2009,6.6,5972200000000000000000000,0.219,11.209,0.0799,0.026283368,0.06,Radial Velocity,M,M
HD 40307 d,42,7.17,Neptune-like,2009,9.5,5972200000000000000000000,0.272,11.209,0.1321,0.055852156,0.07,Radial Velocity,M3.5 V,M
HD 40307 g,42,7.17,Neptune-like,2013,7.1,5972200000000000000000000,0.229,11.209,0.6,0.5415469,0.29,Radial Velocity,M2 V,M
HD 42618 b,79,6.87,Neptune-like,2016,14.4,5972200000000000000000000,0.347,11.209,0.554,0.4095825,0.19,Radial Velocity,M2 V,M
HD 4308 b,72,6.55,Neptune-like,2005,15.8915,5972200000000000000000000,0.368,11.209,0.12,0.042710472,0,Radial Velocity,M3,M
HD 47186 b,122,7.63,Neptune-like,2008,22.2481,5972200000000000000000000,0.448,11.209,0.05,0.011225188,0.04,Radial Velocity,M0V:,M
HD 49674 b,140,8.1,Neptune-like,2002,31.783,5972200000000000000000000,0.553,11.209,0.06,0.013415469,0.09,Radial Velocity,M1.5V,M
HD 51608 b,114,8.17,Neptune-like,2019,12.77,5972200000000000000000000,0.323,11.209,0.1059,0.038603697,0.09,Radial Velocity,M1/M2 V,M
HD 51608 c,114,8.17,Neptune-like,2019,14.31,5972200000000000000000000,0.346,11.209,0.3809,0.2625599,0.14,Radial Velocity,M3.0 V,M
HD 5278 b,188,7.94,Neptune-like,2021,7.8,5972200000000000000000000,0.219,11.209,0.1202,0.039151266,0.08,Transit,M0.5 V,M
HD 5278 c,188,7.94,Neptune-like,2021,18.4,5972200000000000000000000,0.401,11.209,0.2416,0.1119781,0.07,Radial Velocity,M3.5,M
HD 56414 b,888,9.217,Neptune-like,2022,13.3,5972200000000000000000000,0.331,11.209,0.229,0.07939767,0.68,Transit,M3.5,M
HD 63433 c,73,6.92035,Neptune-like,2020,7.61,5972200000000000000000000,0.238,11.209,0.1458,0.056125943,0,Transit,G6 V,G
HD 64114 b,103,7.71,Neptune-like,2019,17.8,5972200000000000000000000,0.393,11.209,0.246,0.12539357,0.12,Radial Velocity,M0,M
HD 69830 b,41,5.96004,Neptune-like,2006,10.2,5972200000000000000000000,0.283,11.209,0.0785,0.023819301,0.1,Radial Velocity,M0,M
HD 69830 c,41,5.96004,Neptune-like,2006,11.8,5972200000000000000000000,0.309,11.209,0.186,0.08651608,0.13,Radial Velocity,M0,M
HD 69830 d,41,5.96004,Neptune-like,2006,18.1,5972200000000000000000000,0.397,11.209,0.63,0.5393566,0.07,Radial Velocity,M2.5 V,M
HD 73583 b,103,9.67,Neptune-like,2022,10.2,5972200000000000000000000,0.249,11.209,0.0604,0.017522246,0.09,Transit,M2.5 V,M
HD 73583 c,103,9.67,Super Earth,2022,9.7,5972200000000000000000000,0.213,11.209,0.1242,0.051745377,0.08,Transit,K0V,K
HD 77338 b,150,8.63,Neptune-like,2012,15.9,5972200000000000000000000,0.368,11.209,0.06,0.015605749,0.09,Radial Velocity,M0.0,M
HD 7924 b,55,7.17896,Neptune-like,2008,6.3566,5972200000000000000000000,0.214,11.209,0.06,0.014784395,0.06,Radial Velocity,M0.0,M
HD 7924 c,55,7.17896,Neptune-like,2015,7.86,5972200000000000000000000,0.243,11.209,0.1134,0.041889116,0.1,Radial Velocity,M2.5,M
HD 7924 d,55,7.17896,Neptune-like,2015,6.44,5972200000000000000000000,0.216,11.209,0.1551,0.067077346,0.21,Radial Velocity,M2.5,M
HD 85390 b,109,8.54,Neptune-like,2009,31.46517,5972200000000000000000000,0.55,11.209,1.373,2.2,0.5,Radial Velocity,M2.5,M
HD 89345 b,432,9.38,Neptune-like,2018,34.9613,5972200000000000000000000,0.66,11.209,0.1066,0.03230664,0.22,Transit,M2.5,M
HD 90156 b,72,6.92,Neptune-like,2009,17.98,5972200000000000000000000,0.395,11.209,0.25,0.13634497,0.31,Radial Velocity,M4,M
HD 93385 c,141,7.49,Neptune-like,2021,7.1,5972200000000000000000000,0.229,11.209,0.112,0.03613963,0.2,Radial Velocity,M4,M
HD 93385 d,141,7.49,Neptune-like,2021,8.7,5972200000000000000000000,0.258,11.209,0.2565,0.12566735,0.09,Radial Velocity,M2.5,M
HD 93963 A c,269,9.182,Super Earth,2022,19.2,5972200000000000000000000,0.288,11.209,0.04813,0.009856262,0,Transit,M0 V,M
HD 95735 c,19,7.49,Neptune-like,2021,13.6,5972200000000000000000000,0.335,11.209,2.94,8.1,0.13,Radial Velocity,M1.5,M
HD 96700 b,83,6.51,Neptune-like,2021,8.9,5972200000000000000000000,0.261,11.209,0.0777,0.022176592,0.138,Radial Velocity,M4,M
HD 96700 d,83,6.51,Neptune-like,2021,12.7,5972200000000000000000000,0.322,11.209,0.424,0.28336754,0.27,Radial Velocity,M4,M
HD 99492 b,59,7.56727,Neptune-like,2004,22.2481,5972200000000000000000000,0.448,11.209,0.12,0.046543464,0.25,Radial Velocity,M5.5 V,M
HIP 107772 b,77,10.56,Neptune-like,2020,12.9,5972200000000000000000000,0.325,11.209,0.243,0.15112936,0.18,Radial Velocity,M5.5 V,M
HIP 116454 b,204,10.19,Super Earth,2014,12.7132,5972200000000000000000000,0.22,11.209,0.0906,0.024914443,0.2,Transit,M2.5 V,M
HIP 19976 b,131,10.48,Neptune-like,2022,20.59095,5972200000000000000000000,0.428,11.209,0.234337,0.13880904,0.3,Radial Velocity,M2.5 V,M
HIP 35173 b,108,9.01,Neptune-like,2019,12.7,5972200000000000000000000,0.322,11.209,0.217,0.11362081,0.16,Radial Velocity,M2.5 V,M
HIP 38594 b,58,9.75,Neptune-like,2020,8.1,5972200000000000000000000,0.247,11.209,0.256,0.16618754,0.17,Radial Velocity,M2.5,M
